requested_n_ribs,effective_n_ribs,th_front,th_back,xf,zf,phi_ribs,th_ribs,winding_number,area_factor,normed_fx,normed_fz,reward,E_front,E_back
3,3,0.0028024018224635638,0.004960418220785792,0.08336379441492137,0.00710713032722099,[30.52833398 26.94100438 17.0993802 ],[0.00214994 0.00262389 0.00229538],0.2515457172027375,0.24808055021349062,0.5379088852776004,0.009142157344803236,-1.0283929953490254,0.0395865394493759,0.10242329523005686
3,3,0.002956574165796748,0.004724592572793456,0.041818648247053725,0.03404082224583371,[ 18.5671822   39.67184055 -14.73686338],[0.00231345 0.00268078 0.00278295],0.24830802821109155,0.2913378993081683,0.5693242889966296,0.8575209162611854,-0.251449300254704,0.04313286520347993,0.11301121963579107
3,3,0.0025950106778890353,0.004149427067677048,0.10695344039434274,0.01430155925355936,[14.50321329 24.66537082  8.31264403],[0.00232195 0.00283059 0.00272858],0.2488519038603706,0.2481454276588953,0.33325441863395466,0.11495658422915536,-0.7152951659240652,0.03218724713649113,0.07126531689865637
3,3,0.0024850830803461437,0.004289166824033918,0.3315491320349325,-0.027941254576545282,[11.09692213 12.81805283 15.61046811],[0.00280512 0.0027216  0.00252816],0.24906905174666683,0.2489521752983788,0.3450510477456885,0.07107648284384975,-0.7719957919468844,0.028329407426050814,0.07660532598052303
3,3,0.0023911330918438985,0.0044672115934387205,0.1840113732176114,-0.03133318194243795,[17.09363766 26.74801132 20.2090248 ],[0.00238481 0.00276326 0.00269532],0.25205717291225976,0.4009524316973145,0.415904867515169,0.11296764224812621,-0.955946829876617,0.02649698838438621,0.07987035175016981
3,3,0.002536963094620631,0.004117488632570293,0.6129534417421081,0.09901040148426388,[-6.00473103 -7.73715686 -3.81201475],[0.00216001 0.00288918 0.00279502],0.2429676555043996,0.21532361263627503,0.33555961011552937,0.516109506192643,-0.2777413720635611,0.029482869901201997,0.0879865020964828
3,3,0.002904526039040007,0.00363737164940459,0.010470403792628313,0.03205994871728768,[ 38.42324184 -21.70021096  17.31044375],[0.0024896  0.00294055 0.00204712],0.24353005797381572,0.1574029100254818,0.45547013359425437,0.870083418304071,0.01368031671051917,0.03828308677703486,0.09527432223425511
3,3,0.002984399440580518,0.004669102031289533,0.21265369945483514,-0.05538239548375112,[30.34532992 27.03406004 23.1373365 ],[0.00261464 0.00276506 0.00271858],0.25361593775074154,0.25035252766130645,0.5274820231442781,0.012864527869749832,-1.0185859606865761,0.04860807457871715,0.08705851399724994
3,3,0.0028069630511992983,0.003053046173571835,0.15660467339479844,-0.05245703026605564,[32.98566985 28.82158995 21.43111914],[0.00246667 0.00207029 0.00256778],0.2540870656145564,0.25986809465406946,0.32061739522196886,0.023061137557613142,-0.8115114179329815,0.0462929096775574,0.0340206139129586
3,3,0.002288255674610312,0.003096752269391171,0.016052319769294443,0.061919704494397765,[  1.49426567  19.91595716 -34.07509428],[0.0022796  0.00230631 0.00258159],0.23854562141319244,0.16935132257099697,0.15555340090746614,0.10161511974602581,-0.46183522514562975,0.01999199870987267,0.03824902126792402
3,3,0.002913670160908958,0.0046189612592500585,0.02437460327998453,0.020810806392306036,[  0.09302608  22.58079926 -13.86700963],[0.00251413 0.00283627 0.00206527],0.25296535031951006,0.2944197193496142,0.5747826006988299,0.17817133504318283,-0.9439963353247713,0.045805324860726145,0.08912773124422498
3,3,0.0025443838814741466,0.0036417908056970926,0.03074410303419428,0.03479193795900071,[ 45.44724218 -10.44853672  -4.07568702],[0.00214563 0.00294712 0.00220234],0.2381261054966318,0.26872534433638073,0.24591283812042483,0.45157275690420146,-0.30119153104923596,0.02537849276243292,0.06718431414664361
3,3,0.0023663625841500156,0.003882933073843007,0.08675447349661225,0.0006412183492383594,[14.29848845 27.7673183  11.85561881],[0.00239348 0.00213374 0.00242476],0.2522068740205557,0.2584154731787846,0.3123926909990581,0.06475540048839423,-0.7582596377100042,0.02676354597176572,0.057193656375787286
3,3,0.0025483543149780736,0.0035493965848308493,0.030486810484756877,0.05126807020600799,[12.3630488   7.2559812  29.85804893],[0.00268871 0.00256642 0.00240797],0.24970613888058898,0.21257665081256544,0.24697370245356232,0.10395729858241605,-0.6052991935643006,0.030958948936196554,0.04795758475935601
3,3,0.0027253427329762357,0.003971906875388259,0.1715698343334039,0.005392512509311942,[18.76340279 -0.08873752 10.36146886],[0.00281579 0.0027657  0.00259869],0.24791906286400006,0.21361397457348416,0.31985490898439833,0.1050022020676618,-0.6763857443542207,0.03658912330093709,0.06380705746293931
3,3,0.0027149984045046747,0.004006147714969958,0.04063070190311424,0.031805194265249526,[  4.93252821  37.38369967 -20.4747771 ],[0.002224   0.00295719 0.00272777],0.24699401258516623,0.2566110228789096,0.38613346737214704,0.43417552856262753,-0.45556297427359527,0.03668706009720335,0.06763850344286726
3,3,0.0022843771794391504,0.003330088600474818,0.010658542960817585,0.04584710426989336,[-1.46642506 18.87732808 43.7706991 ],[0.00234299 0.00258099 0.00264545],0.2476175956041753,0.21080873377000803,0.1959441167190203,0.08288038948592923,-0.5714900566072744,0.022504259228979487,0.042261701492492636
3,3,0.0021214966215385416,0.004867745046208083,0.05441490734599608,-0.008447538260516474,[33.83759828 51.11681982 37.03302798],[0.00247196 0.00219086 0.00293825],0.2577055223582882,0.666352315504976,0.6202689401121636,0.43845759934322387,-1.1058691786322041,0.02020524233685348,0.08321741794441223
3,3,0.0024409597203360186,0.004960418220785792,0.08336379441492137,0.00710713032722099,[34.00368301 26.94100438 17.0993802 ],[0.0025075  0.00262389 0.0026708 ],0.25157845012325075,0.44483517717616966,0.49699146006569356,0.03240040846715044,-1.1610046788979633,0.026968842014519396,0.10287759680428954
3,3,0.0026273702051938146,0.004259439543880515,0.0038866307234596276,0.04572694409635791,[ 13.60687083  58.84429288 -25.76926112],[0.00222094 0.00279487 0.00236808],0.24200487079417618,0.1969446518040859,0.3955866718230696,0.1370526600970267,-0.6974835343243049,0.02879809092555709,0.0979942607884308
